"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 14 02:28:56 GMT 2025","Mon Apr 14 02:28:56 GMT 2025","245","","contrato.TesteContratoLogin","","contrato.TesteContratoLogin","deveValidarContratoLoginComCredenciaisValidas","Deve validar o contrato de login com credenciais válidas",""
"passed","Mon Apr 14 02:28:53 GMT 2025","Mon Apr 14 02:28:53 GMT 2025","271","","funcional.TesteProdutos","","funcional.TesteProdutos","deveCriarProdutoComSucesso","Deve criar um produto com sucesso",""
"passed","Mon Apr 14 02:28:55 GMT 2025","Mon Apr 14 02:28:56 GMT 2025","248","","contrato.TesteContratoLogin","","contrato.TesteContratoLogin","deveValidarContratoLoginComCredenciaisInvalidas","Deve validar o contrato de login com credenciais inválidas e retornar erro de autenticação",""
"passed","Mon Apr 14 02:28:55 GMT 2025","Mon Apr 14 02:28:55 GMT 2025","266","","contrato.TesteContratoProdutos","","contrato.TesteContratoProdutos","deveValidarContratoAtualizacaoProdutoComSucesso","Deve validar o contrato de atualização de produto com sucesso",""
"passed","Mon Apr 14 02:28:51 GMT 2025","Mon Apr 14 02:28:52 GMT 2025","336","","funcional.TesteLogin","","funcional.TesteLogin","deveRealizarLoginObterToken","Deve realizar login e obter o token de acesso com sucesso",""
"passed","Mon Apr 14 02:28:47 GMT 2025","Mon Apr 14 02:28:51 GMT 2025","3346","","funcional.TesteLogin","","funcional.TesteLogin","naoDeveRealizarLogin","Não deve realizar login com credenciais inválidas Tentativa de login inválido #1",""
"passed","Mon Apr 14 02:28:53 GMT 2025","Mon Apr 14 02:28:54 GMT 2025","249","","funcional.TesteProdutos","","funcional.TesteProdutos","deveDeletarProdutoComSucesso","Deve deletar o produto com sucesso",""
"passed","Mon Apr 14 02:28:52 GMT 2025","Mon Apr 14 02:28:52 GMT 2025","842","","funcional.TesteProdutos","","funcional.TesteProdutos","deveRetornarListaDeProdutosComUsuarioAutenticado","Deve retornar a lista de produtos com sucesso para usuário autenticado",""
"passed","Mon Apr 14 02:28:55 GMT 2025","Mon Apr 14 02:28:55 GMT 2025","249","","contrato.TesteContratoProdutos","","contrato.TesteContratoProdutos","deveValidarContratoCriacaoProdutoComSucesso","Deve validar o contrato de criação de produto com sucesso",""
"passed","Mon Apr 14 02:28:51 GMT 2025","Mon Apr 14 02:28:51 GMT 2025","267","","funcional.TesteLogin","","funcional.TesteLogin","naoDeveRealizarLogin","Não deve realizar login com credenciais inválidas Tentativa de login inválido #3",""
"passed","Mon Apr 14 02:28:52 GMT 2025","Mon Apr 14 02:28:53 GMT 2025","454","","funcional.TesteProdutos","","funcional.TesteProdutos","deveRetornarListaDeProdutosComSucesso","Deve retornar a lista de produtos com sucesso",""
"passed","Mon Apr 14 02:28:51 GMT 2025","Mon Apr 14 02:28:51 GMT 2025","303","","funcional.TesteLogin","","funcional.TesteLogin","naoDeveRealizarLogin","Não deve realizar login com credenciais inválidas Tentativa de login inválido #2",""
"passed","Mon Apr 14 02:28:55 GMT 2025","Mon Apr 14 02:28:55 GMT 2025","257","","contrato.TesteContratoProdutos","","contrato.TesteContratoProdutos","deveValidarContratoDelecaoProdutoComSucesso","Deve validar o contrato de deleção de produto com sucesso",""
"passed","Mon Apr 14 02:28:54 GMT 2025","Mon Apr 14 02:28:55 GMT 2025","642","","contrato.TesteContratoProdutos","","contrato.TesteContratoProdutos","deveValidarContratoListaDeProdutosComSucesso","Deve validar o contrato da lista de produtos com sucesso",""
"passed","Mon Apr 14 02:28:54 GMT 2025","Mon Apr 14 02:28:54 GMT 2025","262","","saude.TesteSaude","","saude.TesteSaude","deveValidarSaudeApi","Deve validar a saude da api retornando status 200",""
"passed","Mon Apr 14 02:28:53 GMT 2025","Mon Apr 14 02:28:53 GMT 2025","232","","funcional.TesteProdutos","","funcional.TesteProdutos","deveAtualizarProdutoComSucesso","Deve atualizar o produto com sucesso",""
